question,ID,en_question,similarity
น้ำตำลมะพร้าวเดิมมีการผลิตมากในเมืองชายฝั่งทะเลสาบ คือ สมุทรปราการ สมุทรสาคร และ สมุทรสงคราม แต่ทุกวันนี้มีการผลิตเป็นมากที่สมุทรสงคราม เนื่องจากมะพร้าวขึ้นอยู่อย่างหนาแน่น เรียกว่าอยู่หากินร่วมกัน ตามสถานที่บ่งชี้ตามภูมิศาสตร์ ข้อใดคือสาระสำคัญ,a_level_023,"The original production of coconut sugar was abundant in coastal cities such as Samut Prakan, Samut Sakhon, and Samut Songkhram. However, today it is predominantly produced in Samut Songkhram due to the dense growth of coconut trees, which thrive together in specific geographical locations. What is the main point?",0.55996794
การอยู่กับความเป็นจริงและยอมรับความเป็นจริงจะทำให้เราไม่เครียด ไม่ต้องทุกข์ แต่มิใช่ว่าจะยอมจำนนกับปัญหาที่เกิดขึ้น หากเรารู้ว่าเส้นทางที่จะไปรถติด ก็เผื่อเวลาเดินทางให้มากขึ้น หรือไปเส้นทางอื่นที่รถไม่ติด แต่ถ้ารถยังติดก็ยอมรับความเป็นจริง และลองหาทางปรับเปลี่ยนแก้ปัญหาไปเรื่อย ๆข้อใดคือเจตนาของผู้เขียน,a_level_024,"Living with reality and accepting it will prevent us from being stressed and suffering, but it does not mean surrendering to the problems that arise. If we know that the route we are taking will have traffic, we should allow more travel time or take another route that is less congested. However, if there is still traffic, we should accept the reality and continuously look for ways to adjust and solve the problem. What is the author's intention?",0.85388243
"คำนิยานนั้น ไม่ต่องอะไรกับสายลม ไม่มีตัวตน แม้จะทำให้เราร้อนบ้าง หนาวบ้าง แต่เมื่อผ่านมาแล้วก็จะผ่าเลยไป เราอย่างปล่อยให้สายลมแห่งการนิยานหอบเอาชีวิตและวันเวลาของเรา ""ปลิว"" ห่างไปกับเรื่องไร้ค่าเช่นนั้นเลยข้อใดคือเจตนาของผู้เขียน",a_level_025,"The translation of the Thai question into English is:

""The definition does not relate to the wind, it has no substance. Even though it may make us feel hot or cold at times, once it passes, it will just go away. We should not let the wind of definition carry our lives and time 'drifting' away with such worthless matters. What is the author's intention?""",0.6935648
ตรวจภายใน ในที่นี้มีสองความหมาย หนึ่งคือการสำรวจตรวจตราประกาศกฎการณ์ต่าง ๆ ที่เกิดขึ้นในสังคมแทนที่จะจมอยู่กับมัน สองคือเมื่อกระโดดขึ้นมาเหนือน้ำ มองเห็นภาพกว้างงามและความเป็นไปของน้ำแล้ว ก็คงถึงเวลาที่จะต้องตรวจเข้าไปในจิตใจของตัวเองบ้างว่าคิดเช่นไรกับสิ่งที่เห็น สิ่งที่เป็นอยู่ จะได้ตัดสินใจถูกว่าเมื่อต้องลงสู่กระแสน้ำอีกครั้งจะมุ่งหน้าไปทำอะไร ข้อใดเป็นข้อคิดสำคัญ,a_level_026,"Internal examination in this context has two meanings. One is to observe and inspect various phenomena occurring in society instead of being immersed in them. The second is when you rise above the water, see the broad and beautiful picture and the state of the water, it is time to examine your own mind to see what you think about what you see and what is happening. This will help you decide correctly what to do when you have to dive back into the current again. What is the key takeaway?",0.86994314
"การทำงานเหมือนกับการทำอาหาร ต่อให้ได้สูตรอาหารมาจากไหน จะกรุณานำอาหารมาจากไหนอร่อยที่สุดหรือคู่มือของแม่ครัวดังๆ แต่พอมาถึงหัวใจแล้ว ทุกอย่างต้องใช้ประสบการณ์และการแก้ไขปัญหาหัวใจอาหาร แค่สูตรบอกว่าใช้ไฟกลาง 2 นาที กลางแค่ไหน จะวัดเปลวไฟอย่างไรว่า ""กลาง"" ตรงกับแม่ครัวเจ้าของสูตร บางทีไฟกลางของเราอาจจะแรงกว่า เวลาที่ใช้จึงต้องปรับให้เหมาะสม อาหารต้องเป็นกว่า 2 นาทีนิดหน่อย เพราะถ้าใช้เวลาถึง 2 นาทีตามสูตร อาหารอาจจะไหม้ได้ ข้อใดคือข้อคิดสำคัญ",a_level_027,"Working is like cooking. No matter where you get the recipe from, whether it's from a famous cookbook or a renowned chef, when it comes down to it, everything requires experience and problem-solving in the kitchen. A recipe might say to use medium heat for 2 minutes, but how do you measure what ""medium"" is according to the chef who wrote the recipe? Sometimes our medium heat might be stronger, so the cooking time needs to be adjusted accordingly. The dish might need a little more than 2 minutes because if you follow the recipe exactly, the food might burn. What is the key takeaway from this?",0.83466923
ข้อใดเป็นลักษณะการฟังอย่างมีวิจัยรรณ,a_level_028,Which of the following is a characteristic of critical listening?,0.76952624
ลักษณะของการฟังในสถานการณ์ใดต่างจากข้ออื่น,a_level_029,What is the characteristic of listening in a situation that is different from the others?,0.8481809
ข้อใดเป็นภาษาพูดที่เหมาะในการแสดงความเสียใจ,a_level_030,Which of the following is an appropriate spoken language for expressing condolences?,0.80801654
คำพูดในข้อใดไม่มีการเชิงตำหนิ,a_level_031,Which of the following statements does not contain any criticism?,0.8044788
ข้อใดเป็นวิธีการตั้งคำถามเพื่อให้แสดงความคิดเห็น,a_level_032,Which of the following is a method for asking questions to elicit opinions?,0.850094
ข้อใดไม่ใช่ข้อควรคำนึงในการตั้งคำถาม,a_level_033,Which of the following is not a consideration when formulating a question?,0.87067366
ข้อใดไม่ถูกต้อง,a_level_034,Which one is incorrect?,0.8696133
ข้อใดกล่าวถูกต้อง,a_level_035,Which statement is correct?,0.8808993
การแสดงธรรม “อนัตตลักขณสูตร” ของพระพุทธเจ้าสอดคล้องกับเหตุการณ์ใด,a_level_036,"The teaching of the ""Anattalakkhana Sutta"" by the Buddha corresponds to which event?",0.6082392
หลักธรรมอริยสัจ 4 ในข้อใด เป็น “ธรรมที่ควรละ”,a_level_037,"Which principle of the Four Noble Truths is the ""truth that should be abandoned""?",0.700232
การกระทำในข้อใดไม่ตรงตามหลักธรรมหัวใจเศรษฐี,a_level_038,"Which of the following actions does not align with the principles of the ""Heart of a Millionaire""?",0.79353863
นางสาวส้มไปงานศพของเพื่อนตนเอง เพื่อนของนางสาวส้มเสียชีวิตจากการป่วยเป็นโรคหัวใจทำให้นางสาวส้มคิดได้ว่าทุกสิ่งอย่างไม่มีความแน่นอน เมื่อพบก็ต้องมีจากเป็นธรรมดาของชีวิตอันเป็นใจความสำคัญของหลักธรรมไตรลักษณ์ จากข้อความข้างต้น หลักธรรมไตรลักษณ์สัมพันธ์กับข้อคิดวันสำคัญทางพระพุทธศาสนาวันใดมีความสำคัญมากที่สุด,a_level_039,"Miss Som attended her friend's funeral. Her friend passed away due to heart disease, which made Miss Som realize that nothing in life is certain. The encounter and separation are natural parts of life, which is the essence of the Three Characteristics of Existence in Buddhist teachings. Based on the above passage, which important Buddhist day is most closely related to the Three Characteristics of Existence?",0.67336094
หลักศรัทธา 6 ประการในศาสนาอิสลาม ข้อใดไม่ถูกต้อง,a_level_040,Which of the six articles of faith in Islam is incorrect?,0.8789439
ในข้อใดต่อไปนี้ที่ชาวคริสต์นิกายโปรเตสแตนต์ต้องปฏิบัติเหมือนกันกับชาวคริสต์นิกายโรมันคาทอลิก,a_level_041,Which of the following must Protestants practice in the same way as Roman Catholics?,0.7981049
ข้อใดไม่ถือเป็นนิติกรรมฝ่ายเดียว,a_level_042,Which of the following is not considered a unilateral legal act?,0.729852
ข้อใดกล่าวถึงคดีอุทธรณ์ได้ถูกต้อง,a_level_043,Which statement correctly describes an appeal case?,0.7898731
"นายชอบ, นายชัย, และนายชิด แอบเข้าไปในโกดังสินค้าของบริษัทผลิตสายไฟ โดยได้ขโมยสายไฟออกมาจำนวนหนึ่ง ระหว่างการขโมย, นายสุข ผู้ดูแลโกดังสินค้าได้เดินมาพบพอดี ทั้งสามคนจึงได้ร่วมกันทำร้ายนายสุขจนได้รับบาดเจ็บสาหัส ก่อนที่ทั้งสามจะหลบหนีไป การกระทำของนายชอบ,นายชัย, และนายชิด เกี่ยวกับทรัพย์ในความผิดฐานใด",a_level_044,"Mr. Chob, Mr. Chai, and Mr. Chit secretly entered the warehouse of a wire manufacturing company and stole a quantity of wire. During the theft, Mr. Suk, the warehouse supervisor, happened to come across them. The three then assaulted Mr. Suk, causing him serious injuries, before fleeing the scene. What offense related to property have Mr. Chob, Mr. Chai, and Mr. Chit committed?",0.70131403
กลุ่มสังคมประเภทเป็นกลุ่มทุติยภูมิตรงกับข้อใด,a_level_045,Which of the following corresponds to a secondary social group?,0.63460755
ข้อใดไม่จัดอยู่ในเรื่องการจัดระเบียบสังคม,a_level_046,Which of the following is not considered part of social organization?,0.7611663
ลักษณะเฉพาะของสังคมไทยที่สะท้อนผ่านประเพณีและวัฒนธรรมไทยเกี่ยวข้องกับสิ่งใดน้อยที่สุด,a_level_047,What aspect is least reflected in the characteristics of Thai society through its traditions and culture?,0.7011539
ข้อใดกล่าวผิด,a_level_048,Which statement is incorrect?,0.8006657
ปัจจัยใดต่อไปนี้ส่งผลให้รัฐมีรูปแบบเป็นรัฐรวม,a_level_049,Which of the following factors contribute to a state being a unitary state?,0.75470966
ตามรัฐธรรมนูญแห่งราชอาณาจักรไทยฉบับปัจจุบัน (2560) ข้อใดกล่าวถูกต้อง,a_level_050,"According to the current Constitution of the Kingdom of Thailand (2017), which statement is correct?",0.6567948
ความแตกต่างระหว่างตลาดแข่งขันสมบูรณ์และตลาดกึ่งแข่งขันกึ่งผูกขาดคือข้อใด,a_level_051,What is the difference between a perfectly competitive market and a monopolistic competition market?,0.7718288
"หากบริษัท ก. ผลิตสินค้าชนิดหนึ่งที่ต้องใช้ต้นทุนในการผลิตสูง และมีคู่แข่งเพียงไม่กี่ราย เมื่อบริษัท ก. ลดราคาสินค้า ส่งผลให้ผู้ขายรายอื่นปรับลดราคาตามด้วย"" จากข้อความดังกล่าว บริษัท ก. อยู่ในตลาดประเภทใด",a_level_052,"If Company A produces a type of product that requires high production costs and has only a few competitors, when Company A reduces the price of the product, it causes other sellers to also lower their prices. From the given information, what type of market is Company A in?",0.84021235
ตัวเลือกในข้อใดกล่าวถึงลักษณะของระบบเศรษฐกิจแบบทุนนิยมได้ถูกต้องที่สุด,a_level_053,Which of the following options most accurately describes the characteristics of a capitalist economic system?,0.8437903
หากสินค้า A และ B เป็นสินค้าที่ใช้ประกอบกัน สินค้า B และสินค้า C เป็นสินค้าที่ใช้แทนกันการเพิ่มขึ้นของราคาสินค้า B จะก่อให้เกิดผลตามข้อใด,a_level_054,"If products A and B are complementary goods, and products B and C are substitute goods, what effect will an increase in the price of product B have?",0.8662332
การประยุกต์ใช้ทฤษฎีใหม่ขั้นที่ 3 ตามหลักปรัชญาเศรษฐกิจพอเพียง ตรงกับตัวเลือกในข้อใด,a_level_055,The application of the third stage of the new theory according to the principles of the sufficiency economy philosophy corresponds to which option?,0.7998755
แผนพัฒนาเศรษฐกิจและสังคมแห่งชาติของประเทศไทยฉบับใดที่ริเริ่มในการเน้นให้คนเป็นศูนย์กลางของการพัฒนา,a_level_056,Which version of Thailand's National Economic and Social Development Plan initiated the focus on people-centered development?,0.7868314
การกาหนดค่าจ้างแรงงานขั้นต่ำ ไม่ได้ก่อให้เกิดผลกระทบตามข้อใด,a_level_057,"The translation of the Thai question into English is:

""Setting the minimum wage does not cause which of the following effects?""",0.7217802
"""หากเมื่อ 3 ปีที่แล้ว มีเงิน 50 บาท สามารถซื้อตั๋วรถโดยสารประจาทางปรับอากาศจากบ้านไปโรงเรียนได้ 4 รอบ โดยทั้งขาไปและขากลับใช้ระยะทางเท่ากัน แต่ในปัจจุบันมีเงิน 50 บาท จะสามารถซื้อตั๋วรถโดยสารประจำทางปรับอากาศ จากบ้านไปโรงเรียนได้ 2 รอบ โดยทั้งขาไปและขากลับใช้ระยะทางเท่ากันเหมือนเดิม”จากข้อความข้างต้นสัมพันธ์กับข้อใด",a_level_058,"""If 3 years ago, having 50 baht could buy 4 round-trip air-conditioned bus tickets from home to school, with the distance being the same for both the outbound and return trips, but currently, having 50 baht can only buy 2 round-trip air-conditioned bus tickets from home to school, with the distance remaining the same for both the outbound and return trips, which of the following statements is related to the above information?""",0.80513835
การกู้เงินของรัฐบาลเพื่อนำมาใช้ในโครงการเราชนะ เป็นเครื่องมือของนโยบายอะไรและแบบใด,a_level_059,"What type of policy and what kind of tool is the government's borrowing for the ""We Win"" project?",0.8757609
หากเดือนมีนาคม พ.ศ. 2563 ให้อัตราแลกเปลี่ยนเงินตราต่างประเทศระหว่างประเทศสหรัฐอเมริกากับประเทศไทย คือ 1 ดอลลาร์สหรัฐ เท่ากับ 30 บาท และเดือนมีนาคม พ.ศ. 2565 ให้ 1 ดอลลาร์สหรัฐเท่ากับ 36 บาท ข้อใดกล่าวถูกต้องเกี่ยวกับสถานการณ์ในเดือนมีนาคม พ.ศ. 2565,a_level_060,"If in March 2020, the exchange rate between the United States and Thailand was 1 US dollar equal to 30 baht, and in March 2022, 1 US dollar equals 36 baht, which statement is correct regarding the situation in March 2022?",0.6931217
"ข้อใดตรงกับ ""อัฐศก""",a_level_061,"Which of the following corresponds to ""อัฐศก""?",0.8885502
ข้อใดกล่าวผิดเกี่ยวกับหลักฐานทางประวัติศาสตร์,a_level_062,Which of the following statements is incorrect regarding historical evidence?,0.8734261
การศึกษาประวัติศาสตร์ไทยในเรื่องใดที่ผู้ศึกษาควรเลือกสืบข้อมูลจากเอกสารบันทึกการเดินทางของชาวต่างชาติมากกว่าค้นคว้าข้อมูลจากพระราชพงศาวดารพระราชประวัติของพระมหากษัตริย์สมัยกรุงศรีอยุธยา,a_level_063,Which aspect of Thai history should researchers choose to investigate using travel records of foreigners rather than relying on royal chronicles and biographies of kings from the Ayutthaya period?,0.7129011
พระยาสยามานุกูลกิจ สยามมิตรมหายศ มีความเกี่ยวข้องกับเหตุการณ์ใดในประเทศไทย,a_level_064,Phra Ya Sayamanukulkit Sayammitr Mahayot is associated with which event in Thailand?,0.51024455
คำสั่งสำนักนายกรัฐมนตรีที่ 66/2523 มีจุดประสงค์ตามข้อใด,a_level_065,What is the purpose of the Prime Minister's Office Order No. 66/2523?,0.84767705
ข้อใดไม่นับเป็นมรดกของอารยธรรมโรมัน,a_level_066,Which of the following is not considered a legacy of Roman civilization?,0.84028506
ข้อใดกล่าวไม่ถูกต้องถึงเหตุการณ์ในประวัติศาสตร์สากลสมัยกลาง,a_level_067,Which of the following statements is incorrect about events in medieval world history?,0.849768
ผลสำคัญที่เกิดขึ้นจากการสำรวจเส้นทางเดินเรือในช่วงคริสต์ศตวรรษที่ 15 และ 16 ข้อใดกล่าวผิด,a_level_068,What is the incorrect statement regarding the significant outcomes of the exploration of sea routes during the 15th and 16th centuries?,0.87076235
เหตุการณ์ที่เกิดขึ้นในช่วงครึ่งแรกของคริสต์ศตวรรษที่ 21 คือข้อใด,a_level_069,What events occurred in the first half of the 21st century?,0.9409916
"มีแผนที่อยู่ 2 ฉบับ ครอบคลุมบริเวณเดียวกัน แผนที่ฉบับที่ 1 มีมาตราส่วน 1:200,000 วัดระยะทางจากบ้านถึงโรงเรียนได้ 8 เซนติเมตร แผนที่ฉบับที่ 2 ไม่ทราบมาตราส่วน วัดระยะทางจากบ้านถึงโรงเรียนได้ 4 เซนติเมตร จงคำนวณว่าแผนที่ฉบับที่ 2 มีมาตราส่วนเท่าใด",a_level_070,"There are two maps covering the same area. Map 1 has a scale of 1:200,000 and measures the distance from home to school as 8 centimeters. The scale of Map 2 is unknown, and it measures the distance from home to school as 4 centimeters. Calculate the scale of Map 2.",0.82791156
ข้อใดไม่ใช่การเลือกใช้เครื่องมือทางภูมิศาสตร์ที่เหมาะสม,a_level_071,Which of the following is not an appropriate use of geographical tools?,0.8684054
ข้อใดกล่าวถึงการตั้งถิ่นฐานตามลักษณะภูมิศาสตร์ของภูมิภาคต่าง ๆ ของโลกได้ถูกต้อง,a_level_072,Which of the following correctly describes the settlement patterns based on the geographical characteristics of different regions of the world?,0.8405391
“แม่น้ำแอมะซอน” มีลักษณะการเกิดคล้ายกับพื้นที่ใดของประเทศไทย,a_level_073,"""Which area in Thailand has a formation similar to the Amazon River?""",0.613417
ข้อใดกล่าวเกี่ยวกับอิทธิพลของลมมรสุมต่อสภาพภูมิอากาศของประเทศไทยได้อย่างถูกต้อง,a_level_074,Which statement correctly describes the influence of monsoon winds on the climate of Thailand?,0.71114635
บริเวณที่กระแสน้ำอุ่นและกระแสน้ำเย็นไหลปะทะกันบริเวณประเทศญี่ปุ่นเรียกว่าอะไร และทำให้เกิดประโยชน์ในเรื่องใด,a_level_075,"What is the area called where warm and cold ocean currents collide near Japan, and what benefits does it provide?",0.8821895
ข้อใดกล่าวถูกต้องเกี่ยวกับภูเขาไฟ,a_level_076,Which statement is correct about volcanoes?,0.81146157
“การศึกษาโรคฝีดาษลิง” อนุสัญญาระหว่างประเทศในข้อใดมีบทบาทเกี่ยวข้องมากที่สุด,a_level_077,"""The study of monkeypox: Which international convention plays the most significant role?""",0.5730376
พื้นที่ดินเปรี้ยวในจังหวัดนครนายก ควรแก้ไขปัญหาได้โดยวิธีใด และมีวิธีการอย่างไร,a_level_078,"What methods should be used to solve the problem of acidic soil in Nakhon Nayok province, and how should these methods be implemented?",0.6932567
ให้ p(x) = x^3 + (k - 1)x^2 - k^3 เมื่อ k เป็นจำนวนจริงลบ ถ้าเศษเหลือจากการหาร p(x) ด้วย x - 3 เท่ากับ 18 แล้วศษเหลือจากการหาร p(x) ด้วย 2x + 1 เท่ากับเท่าใด,a_level_079,"Given \( p(x) = x^3 + (k - 1)x^2 - k^3 \) where \( k \) is a negative real number, if the remainder when \( p(x) \) is divided by \( x - 3 \) is 18, what is the remainder when \( p(x) \) is divided by \( 2x + 1 \)?",0.87340987
"A = \{ x \in \mathbb{Z} \mid |2x + 3| < 2|x - 5| \}
B = \{ x \in \mathbb{R} \mid 0 < x < 5 \}

ก) สมาชิกของเซต A ที่มีค่ามากที่สุด คือ 0
ข) A - B เป็นเซตอนันต์
ค) \forall x [x \in A \rightarrow x \in B]

ข้อใดต่อไปนี้ถูกต้อง",a_level_080,"A = \{ x \in \mathbb{Z} \mid |2x + 3| < 2|x - 5| \}
B = \{ x \in \mathbb{R} \mid 0 < x < 5 \}

a) The largest member of set A is 0.
b) A - B is an infinite set.
c) \forall x [x \in A \rightarrow x \in B]

Which of the following statements is correct?",0.86181223
"ให้ p, q, r และ s เป็นประพจน์ โดยที่ (\neg p \land q) \rightarrow (\neg r \rightarrow (r \leftrightarrow s)) มีค่าความจริงเป็นเท็จ ประพจน์ในข้อใดมีค่าความจริงเป็นจริง",a_level_081,"Given propositions \( p, q, r, \) and \( s \) such that \( (\neg p \land q) \rightarrow (\neg r \rightarrow (r \leftrightarrow s)) \) is false, which of the following propositions is true?",0.778583
ถ้า \log_{\frac{1}{4}} 256 + \frac{2\log 625}{\log 5} = 3^a เมื่อ a เป็นจำนวนจริง แล้วคำตอบของ a เท่ากับเท่าใด?,a_level_082,"If \(\log_{\frac{1}{4}} 256 + \frac{2\log 625}{\log 5} = 3^a\) where \(a\) is a real number, what is the value of \(a\)?",0.96569526
รูปสี่เหลี่ยม ABCD มีมุม A ขนาด 60 องศา ด้านประกอบมุม A ยาวเท่ากัน มุม C เป็นมุมที่อยู่ตรงข้ามกับมุม A มีขนาด 120 องศา และด้านประกอบมุม C ยาว 30 และ 50 หน่วย ด้าน AB ยาวกี่หน่วย?,a_level_083,"A quadrilateral ABCD has an angle A of 60 degrees, with the sides forming angle A being equal in length. Angle C, which is opposite angle A, measures 120 degrees, and the sides forming angle C are 30 and 50 units long. How long is side AB?",0.8471048
หาค่าของ \tan \left( \arccos \left( \frac{5}{13} \right) + \arcsin \left( \frac{3}{5} \right) \right),a_level_084,Find the value of \(\tan \left( \arccos \left( \frac{5}{13} \right) + \arcsin \left( \frac{3}{5} \right) \right).,0.98430645
A = \begin{pmatrix} x & -1 \\ 0 & 3 \end{pmatrix} และ B = \begin{pmatrix} -2 & 0 \\ x & 1 \end{pmatrix} จงหาค่าของ {det}(B^{-1}A) = -6,a_level_085,"Given \( A = \begin{pmatrix} x & -1 \\ 0 & 3 \end{pmatrix} \) and \( B = \begin{pmatrix} -2 & 0 \\ x & 1 \end{pmatrix} \), find the value of \( \det(B^{-1}A) = -6 \).",0.9692024
ให้ลำดับอนันต์ a_n = \frac{1}{n} - \frac{1}{n+2} จงหาค่าของ \sum_{n=1}^{\infty} a_n,a_level_086,"Given the infinite sequence \( a_n = \frac{1}{n} - \frac{1}{n+2} \), find the value of \( \sum_{n=1}^{\infty} a_n \).",0.8998333
