model,experiment,accuracy,uncertainty,accuracy_revised,answer_pred_revised,ifhr,temperature,task,model_type
typhoon15,th_th,0.37461406518010293,0.8691366873731673,0.37512864493996567,0.8661310625210668,0.0022298456260720413,1.0,ThaiExam,CPT
gemma2,en_en,0.5409948542024013,0.177922293672981,0.5413379073756432,0.17573247369154107,0.009262435677530018,1.0,ThaiExam,MLLM
gemma2,en_th,0.5312178387650086,0.21682054120748728,0.5312178387650086,0.21520502378248524,0.003945111492281304,1.0,ThaiExam,MLLM
gemma2,th_en,0.5360205831903945,0.2094849368022835,0.5361921097770155,0.20761718384285774,0.011835334476843911,1.0,ThaiExam,MLLM
gemma2,th_th,0.5349914236706689,0.23544633987780164,0.5349914236706689,0.23544633987780164,0.004631217838765009,1.0,ThaiExam,MLLM
llama31,en_en,0.40463121783876504,0.6893041863146513,0.40463121783876504,0.6893041863146513,0.00017152658662092626,1.0,ThaiExam,MLLM
llama31,en_th,0.3795883361921098,0.8668758113165437,0.3795883361921098,0.8668758113165437,0.007204116638078902,1.0,ThaiExam,MLLM
llama31,th_en,0.39382504288164666,0.8064613371965242,0.39382504288164666,0.8060755154849505,0.002572898799313894,1.0,ThaiExam,MLLM
llama31,th_th,0.35643224699828474,0.9158960536350481,0.35643224699828474,0.9158960536350481,0.006346483704974272,1.0,ThaiExam,MLLM
llama3,en_en,0.46721728081321473,0.44436222517880253,0.46721728081321473,0.4439633066448016,0.0021601016518424396,1.0,WTI - MC,Base
llama3,en_th,0.46581956797966967,0.4729342897396381,0.46581956797966967,0.4729342897396381,0.00012706480304955527,1.0,WTI - MC,Base
llama3,th_en,0.4777636594663278,0.3359003377030504,0.4778907242693774,0.3343692418145989,0.0017789072426937736,1.0,WTI - MC,Base
llama3,th_th,0.47395171537484115,0.3499015564215765,0.47395171537484115,0.3499015564215765,0.00038119440914866586,1.0,WTI - MC,Base
qwen15,en_en,0.0,2.2784602768560775,0.2310038119440915,1.221906659887979,0.985133418043202,1.0,WTI - MC,Base
qwen15,en_th,0.0,2.094356139058989,0.09390088945362135,1.810124097944889,0.9983481575603559,1.0,WTI - MC,Base
qwen15,th_en,0.0,2.2992382578147215,0.09822109275730623,2.0599870387412156,0.9984752223634052,1.0,WTI - MC,Base
qwen15,th_th,0.0,2.2023366465512386,0.09161372299872936,1.981517376439459,0.9996188055908514,1.0,WTI - MC,Base
qwen25,en_en,0.0,1.9762555769068242,0.2420584498094028,1.3133280457228793,0.870266836086404,1.0,WTI - MC,Base
qwen25,en_th,0.00012706480304955527,2.1721159147140816,0.10152477763659468,1.9253796564351022,0.9692503176620075,1.0,WTI - MC,Base
qwen25,th_en,0.00025412960609911054,2.296396560248255,0.096569250317662,2.086638276801107,0.989707750952986,1.0,WTI - MC,Base
qwen25,th_th,0.0,2.2307154783928094,0.10533672172808133,2.0399100955274716,0.9703939008894537,1.0,WTI - MC,Base
otg,en_en,0.0,1.5902134710352838,0.443710292249047,0.5158363126794584,1.0,1.0,WTI - MC,CPT
otg,en_th,0.0,1.8934675827362184,0.2716645489199492,1.3142096138141297,1.0,1.0,WTI - MC,CPT
otg,th_en,0.0,2.2220588231373584,0.2195679796696315,1.7024638850081881,1.0,1.0,WTI - MC,CPT
otg,th_th,0.0,2.1985595743256194,0.23074968233799237,1.6729527458567002,1.0,1.0,WTI - MC,CPT
sailor,en_en,0.005717916137229987,1.9226610742322778,0.32477763659466324,0.9896823051532272,0.9884371029224904,1.0,WTI - MC,CPT
sailor,en_th,0.010292249047013976,1.6480150415797092,0.35311308767471405,0.9962386590815071,0.9728081321473953,1.0,WTI - MC,CPT
sailor,th_en,0.007242693773824651,1.9862405125720595,0.313722998729352,1.0321670183402787,0.9834815756035579,1.0,WTI - MC,CPT
sailor,th_th,0.00673443456162643,1.8175871385188023,0.3142312579415502,1.2106512995903982,0.9846251588310038,1.0,WTI - MC,CPT
typhoon15,en_en,0.4512071156289708,0.6810155723183533,0.4545108005082592,0.6638815657566888,0.009656925031766201,1.0,WTI - MC,CPT
typhoon15,en_th,0.4594663278271919,0.7066960563198523,0.46124523506988563,0.6996248071727098,0.00457433290978399,1.0,WTI - MC,CPT
typhoon15,th_en,0.4543837357052097,0.6336681146681382,0.4547649301143583,0.6303758935088615,0.002922490470139771,1.0,WTI - MC,CPT
typhoon15,th_th,0.45743329097839897,0.7055608013411783,0.45756035578144855,0.7038461709090472,0.001778907242693774,1.0,WTI - MC,CPT
gemma2,en_en,0.5451080050825922,0.1594260392715263,0.5451080050825922,0.15819440502039095,0.007878017789072427,1.0,WTI - MC,MLLM
gemma2,en_th,0.545997458703939,0.17591261749869164,0.545997458703939,0.17556911467109343,0.0019059720457433292,1.0,WTI - MC,MLLM
gemma2,th_en,0.5341804320203304,0.19531441308785424,0.5344345616264295,0.1935160719375474,0.01372299872935197,1.0,WTI - MC,MLLM
gemma2,th_th,0.536594663278272,0.1932586662106822,0.5367217280813215,0.19154938767210714,0.009021601016518424,1.0,WTI - MC,MLLM
llama31,en_en,0.4570520965692503,0.5615442858335538,0.4570520965692503,0.5615442858335538,0.0048284625158831005,1.0,WTI - MC,MLLM
llama31,en_th,0.44561626429479034,0.6947992620459836,0.44561626429479034,0.6947992620459836,0.00698856416772554,1.0,WTI - MC,MLLM
llama31,th_en,0.4592121982210927,0.6430588896932026,0.4593392630241423,0.6424332602402246,0.012452350698856418,1.0,WTI - MC,MLLM
llama31,th_th,0.44193138500635326,0.7106256488160635,0.44193138500635326,0.7102068639538013,0.013214739517153748,1.0,WTI - MC,MLLM
